timestep,neuron Brick-0.0,neuron Brick-0.1,neuron Brick-0.2,neuron Brick-0.3,neuron Brick-0.4,neuron Brick-0.5,neuron Brick-0.6,neuron Brick-0.7,neuron Brick-0.8,neuron Brick-0.9,neuron Brick-0.10,neuron Brick-0.11,neuron Brick-0.12,neuron Brick-0.13,neuron Brick-0.14,neuron Brick-0.15,neuron Brick-0.16,neuron Brick-0.17,neuron Brick-0.18,neuron Brick-0.19,neuron Brick-0.20,neuron Brick-0.21,neuron Brick-0.22,neuron Brick-0.23,neuron Brick-0.24,neuron Brick-0.25,neuron Brick-0.26,neuron Brick-0.27,neuron Brick-0.28,neuron Brick-0.29,neuron Brick-0.30,neuron Brick-0.31,neuron Brick-0.32,neuron Brick-0.33,neuron Brick-0.34,neuron Brick-0.35,neuron Brick-0.36,neuron Brick-0.37,neuron Brick-0.38,neuron Brick-0.39,neuron Brick-0.40,neuron Brick-0.41,neuron Brick-0.42,neuron Brick-0.43,neuron Brick-0.44,neuron Brick-0.45,neuron Brick-0.46,neuron Brick-0.47,neuron Brick-0.48,neuron Brick-0.49,neuron Brick-0.50,neuron Brick-0.51,neuron Brick-0.52,neuron Brick-0.53,neuron Brick-0.54,neuron Brick-0.55,neuron Brick-0.56,neuron Brick-0.57,neuron Brick-0.58,neuron Brick-0.59,neuron Brick-0.60,neuron Brick-0.61,neuron Brick-0.62,neuron Brick-0.63,neuron Brick-0.64,neuron Brick-0.65,neuron Brick-0.66,neuron Brick-0.67,neuron Brick-0.68,neuron Brick-0.69,neuron Brick-0.70,neuron Brick-0.71,neuron Brick-0.72,neuron Brick-0.73,neuron Brick-0.74,neuron Brick-0.75,neuron Brick-0.76,neuron Brick-0.77,neuron Brick-0.78,neuron Brick-0.79,neuron Brick-0.80,neuron Brick-0.81,neuron Brick-0.82,neuron Brick-0.83,neuron Brick-0.84,neuron Brick-0.85,neuron Brick-0.86,neuron Brick-0.87,neuron Brick-0.88,neuron Brick-0.89,neuron Brick-0.90,neuron Brick-0.91,neuron Brick-0.92,neuron Brick-0.93,neuron Brick-0.94,neuron Brick-0.95,neuron Brick-0.96,neuron Brick-0.97,neuron Brick-0.98,neuron Brick-0.99,neuron Brick-0.100,neuron Brick-0.101,neuron Brick-0.102,neuron Brick-0.103,neuron Brick-0.104,neuron Brick-0.105,neuron Brick-0.106,neuron Brick-0.107,neuron Brick-0.108,neuron Brick-0.109,neuron Brick-0.110,neuron Brick-0.111,neuron Brick-0.112,neuron Brick-0.113,neuron Brick-0.114,neuron Brick-0.115,neuron Brick-0.116,neuron Brick-0.117,neuron Brick-0.118,neuron Brick-0.119,neuron Brick-0.120,neuron Brick-0.121,neuron Brick-0.122,neuron Brick-0.123,neuron Brick-0.124,neuron Brick-0.125,neuron Brick-0.126,neuron Brick-0.127,neuron Brick-0.128,neuron Brick-0.129,neuron Brick-0.130,neuron Brick-0.131,neuron Brick-0.132,neuron Brick-0.133,neuron Brick-0.134,neuron Brick-0.135,neuron Brick-0.136,neuron Brick-0.137,neuron Brick-0.138,neuron Brick-0.139,neuron Brick-0.140,neuron Brick-0.141,neuron Brick-0.142,neuron Brick-0.143,neuron Brick-0.144,neuron Brick-0.145,neuron Brick-0.146,neuron Brick-0.147,neuron Brick-0.148,neuron Brick-0.149,neuron Brick-0.150,neuron Brick-0.151,neuron Brick-0.152,neuron Brick-0.153,neuron Brick-0.154,neuron Brick-0.155,neuron Brick-0.156,neuron Brick-0.157,neuron Brick-0.158,neuron Brick-0.159,neuron Brick-0.160,neuron Brick-0.161,neuron Brick-0.162,neuron Brick-0.163,neuron Brick-0.164,neuron Brick-0.165,neuron Brick-0.166,neuron Brick-0.167,neuron Brick-0.168,neuron Brick-0.169,neuron Brick-0.170,neuron Brick-0.171,neuron Brick-0.172,neuron Brick-0.173,neuron Brick-0.174,neuron Brick-0.175,neuron Brick-0.176,neuron Brick-0.177,neuron Brick-0.178,neuron Brick-0.179,neuron Brick-0.180,neuron Brick-0.181,neuron Brick-0.182,neuron Brick-0.183,neuron Brick-0.184,neuron Brick-0.185,neuron Brick-0.186,neuron Brick-0.187,neuron Brick-0.188,neuron Brick-0.189,neuron Brick-0.190,neuron Brick-0.191,neuron Brick-0.192,neuron Brick-0.193,neuron Brick-0.194,neuron Brick-0.195,neuron Brick-0.196,neuron Brick-0.197,neuron Brick-0.198,neuron Brick-0.199,
375,70,75,32,79,4,29,75,11,82,88,42,52,80,33,93,24,41,96,94,76,28,31,95,27,42,17,24,17,3,42,93,69,84,50,74,46,60,82,88,41,73,43,55,40,31,89,80,10,48,31,3,75,69,60,41,77,28,69,87,70,68,63,70,45,56,56,11,20,5,55,20,60,68,45,10,42,11,35,9,22,32,24,25,60,86,67,26,1,48,30,43,30,84,56,26,97,44,82,27,35,48,30,36,16,0,99,13,89,75,97,63,85,65,68,44,77,4,23,39,98,30,4,48,46,85,7,68,88,41,86,52,12,11,27,73,45,87,79,65,66,59,78,92,34,89,81,2,10,24,71,10,68,82,55,71,97,76,62,49,26,65,2,59,4,34,85,95,41,38,88,0,71,66,52,88,14,78,42,96,3,72,6,12,22,51,61,93,68,86,44,76,87,69,41,82,46,64,3,39,10,
376,71,77,33,81,5,30,76,13,83,89,43,53,81,34,94,26,42,99,96,77,30,32,97,28,43,19,25,20,5,43,95,70,85,53,75,47,62,83,89,43,74,44,57,42,32,90,82,11,49,34,5,76,70,61,43,78,29,70,88,72,69,64,72,46,57,57,14,21,7,57,21,61,69,46,12,43,12,37,11,23,33,25,26,61,87,69,27,2,49,31,45,31,87,58,27,98,45,84,28,36,50,31,39,17,1,0,15,90,77,98,65,87,66,71,45,78,5,24,40,99,31,5,50,47,87,8,71,89,42,87,53,13,14,29,74,46,88,81,66,67,61,80,94,36,90,83,3,12,26,72,11,69,85,56,73,99,77,64,50,28,67,3,60,6,36,87,96,42,40,89,1,73,67,54,90,15,79,44,97,4,75,8,13,23,52,63,95,69,87,45,78,89,71,43,83,48,65,4,40,11,
377,72,78,34,82,7,31,77,14,84,91,44,54,82,35,95,28,43,0,97,79,31,33,98,29,44,21,26,21,6,45,97,71,87,55,76,48,63,85,90,44,75,46,58,43,33,92,83,12,50,36,6,77,71,62,45,80,30,71,90,73,71,65,73,47,58,58,16,22,8,58,22,62,71,47,13,44,13,38,12,24,34,26,27,62,88,70,28,3,51,32,46,33,88,59,28,99,46,86,29,37,51,33,40,18,2,1,16,91,78,99,66,88,67,72,46,80,6,25,42,0,32,6,52,48,88,10,72,91,43,88,54,14,16,30,76,47,89,82,67,68,63,81,95,37,91,84,4,13,28,73,12,71,86,57,74,0,78,65,51,29,68,4,61,8,38,89,97,43,41,90,2,75,68,55,92,16,80,45,98,5,77,9,15,24,54,64,96,70,88,46,80,91,72,45,84,50,66,5,41,13,
378,75,80,35,84,8,32,81,15,85,92,45,56,84,37,96,30,45,1,98,80,32,35,0,32,45,22,27,22,9,46,0,73,89,58,78,49,64,87,93,46,77,48,60,45,34,94,84,13,52,38,8,80,74,66,46,82,31,73,93,74,73,67,74,48,59,60,17,24,10,60,23,63,73,48,15,46,15,39,14,26,36,27,30,63,89,72,29,5,52,33,47,35,89,61,29,0,47,88,30,38,52,35,41,19,3,2,18,92,79,0,67,90,68,73,48,82,7,27,44,1,34,7,54,51,89,11,74,93,44,89,55,15,17,31,78,49,90,84,68,70,65,83,97,38,93,86,7,14,29,76,13,73,87,58,75,1,79,67,53,30,69,5,62,9,39,90,0,45,42,93,4,76,69,56,94,18,81,46,0,6,78,10,17,25,55,66,98,71,89,47,81,93,74,46,86,51,67,6,44,15,
379,78,82,36,86,11,34,83,17,89,94,46,59,85,39,98,33,46,5,0,82,33,37,3,34,46,25,28,24,11,47,2,75,91,59,82,51,66,89,95,47,82,49,62,46,37,95,86,16,53,40,10,83,77,69,47,83,33,75,96,77,75,69,76,50,62,62,20,26,12,61,25,66,75,51,16,49,17,41,16,28,38,29,32,64,91,74,30,8,54,34,49,36,93,64,31,2,50,93,31,39,54,38,43,22,4,3,19,93,81,4,69,91,70,78,50,85,10,30,47,4,38,10,57,54,93,12,76,96,45,90,57,16,19,33,81,50,93,88,71,72,67,86,98,40,95,88,9,17,33,79,15,78,90,61,76,3,81,69,54,32,70,7,64,10,40,93,3,46,45,97,6,77,72,57,96,19,85,49,4,9,80,11,19,26,58,68,0,74,91,49,83,96,76,48,88,52,68,8,45,19,
380,79,83,37,88,12,35,85,18,90,95,47,61,87,40,99,34,47,6,1,83,35,39,4,35,48,28,29,26,13,49,3,76,93,60,83,52,69,90,97,48,83,50,63,47,39,97,87,17,54,41,11,84,78,70,48,85,34,76,97,78,77,70,77,51,64,63,21,27,14,63,27,68,77,53,17,51,18,42,18,30,39,30,33,66,93,75,32,9,55,36,50,37,94,65,33,4,52,95,33,41,55,40,44,23,6,5,20,94,83,5,70,93,72,80,51,86,11,31,48,5,39,11,58,55,95,14,77,97,47,91,58,18,20,35,82,52,95,90,72,74,69,87,99,41,96,90,10,19,34,80,16,79,91,63,77,4,83,71,55,34,72,8,65,11,42,94,5,47,46,98,7,78,74,58,98,20,87,50,5,12,82,12,20,27,59,70,2,76,92,51,84,98,77,50,89,53,69,9,47,21,
381,80,84,38,89,13,36,86,19,91,96,48,62,88,41,0,35,48,7,2,84,36,40,5,36,49,29,30,27,14,50,4,77,94,61,84,53,70,91,98,49,84,51,64,48,40,98,88,18,55,42,12,85,79,71,49,86,35,77,98,79,78,71,78,52,65,64,22,28,15,64,28,69,78,54,18,52,19,43,19,31,40,31,34,67,94,76,33,10,56,37,51,38,95,66,34,5,53,96,34,42,56,41,45,24,7,6,21,95,84,6,71,94,73,81,52,87,12,32,49,6,40,12,59,56,96,15,78,98,48,92,59,19,21,36,83,53,96,91,73,75,70,88,0,42,97,91,11,20,35,81,17,80,92,64,78,5,84,72,56,35,73,9,66,12,43,95,6,48,47,99,8,79,75,59,99,21,88,51,6,13,83,13,21,28,60,71,3,77,93,52,85,99,78,51,90,54,70,10,48,22,
382,81,85,40,91,14,37,87,21,92,97,50,63,89,42,1,36,49,9,4,86,37,41,6,37,51,31,31,28,17,51,5,78,95,63,86,54,72,94,99,50,86,52,65,50,42,99,90,20,57,43,14,86,81,72,51,87,36,79,99,81,79,72,79,54,66,66,24,29,17,65,29,70,79,55,19,53,20,45,20,33,42,32,35,68,95,78,34,11,57,39,52,41,96,67,36,7,55,97,35,43,57,43,46,25,9,7,22,96,85,9,72,96,74,82,54,88,13,34,51,7,42,13,60,57,98,16,79,0,49,93,60,20,23,37,84,54,97,92,74,77,71,89,2,44,0,93,12,22,36,83,19,81,93,65,79,7,85,74,57,36,75,10,67,13,44,96,7,50,48,0,10,80,76,60,0,22,89,53,8,14,85,14,22,29,61,72,4,79,95,54,87,0,79,52,92,55,71,11,50,23,
383,83,87,41,92,15,39,88,22,93,99,51,65,91,44,2,37,51,11,6,87,39,42,8,40,54,33,33,31,18,53,7,79,98,64,88,56,73,95,0,52,88,54,66,51,43,0,92,22,58,44,16,88,84,74,52,88,37,80,0,84,82,73,81,56,67,67,26,30,20,66,32,72,81,57,21,57,23,48,22,34,44,34,37,69,98,80,37,14,60,41,55,42,99,68,37,8,56,99,36,44,60,44,49,27,10,9,24,98,87,10,73,98,76,84,56,89,16,35,53,9,45,14,63,58,0,17,81,4,51,95,62,21,25,39,86,56,99,93,75,80,72,91,5,46,2,94,14,25,40,86,21,82,96,68,80,8,87,77,58,38,78,12,68,15,45,97,9,51,50,1,13,82,80,65,1,24,91,56,9,16,86,16,24,32,64,73,5,80,97,56,88,1,81,53,94,56,72,12,51,25,
384,86,88,42,95,16,40,90,23,95,0,53,66,94,45,4,39,52,12,7,89,41,43,11,41,55,35,36,32,19,57,10,82,0,66,91,58,74,97,2,54,90,56,67,54,45,1,94,25,59,45,18,90,85,75,54,92,39,83,1,86,83,75,83,57,69,68,27,32,22,68,34,73,82,58,23,58,24,51,23,35,47,36,40,70,99,83,38,16,61,42,58,43,0,69,39,10,58,0,38,46,61,45,51,29,12,12,25,99,89,12,75,99,78,86,57,92,17,36,57,10,46,17,67,59,1,20,83,6,52,96,63,25,27,41,88,58,0,96,76,82,75,92,7,47,3,96,15,26,43,88,23,83,97,70,82,10,88,80,60,41,80,14,70,16,46,0,11,53,53,2,14,85,81,67,2,26,94,57,11,17,87,18,27,35,67,74,7,83,98,57,91,3,84,54,95,57,76,14,52,27,
385,88,90,45,97,17,42,91,25,96,1,55,67,95,47,6,41,53,14,8,91,43,46,12,42,57,39,38,34,21,58,12,83,1,68,94,60,76,99,4,56,92,57,70,56,46,3,96,29,61,48,19,91,87,77,57,95,42,88,3,88,84,77,86,62,72,71,28,33,23,70,35,75,83,60,25,59,26,55,26,37,49,38,43,73,0,85,39,18,63,44,62,47,1,71,41,11,60,2,40,48,63,48,53,33,15,13,30,0,92,15,78,0,82,90,59,94,18,38,59,11,49,20,70,61,3,21,84,10,53,98,65,26,31,42,90,59,2,98,79,86,76,95,9,49,6,98,17,28,46,89,24,85,98,72,85,12,92,83,62,42,81,19,73,18,50,2,14,56,55,4,15,87,84,70,4,28,96,58,13,19,89,20,30,38,70,76,9,86,99,60,93,5,86,55,96,59,77,15,53,28,
386,91,91,46,99,18,44,93,26,98,3,58,68,98,49,8,42,54,16,9,92,45,48,14,44,59,40,39,36,23,59,13,84,2,71,97,62,78,0,6,57,94,58,71,58,47,5,98,31,62,51,22,92,88,78,59,97,43,89,5,90,86,78,89,63,74,72,29,34,24,72,37,76,84,61,27,61,28,56,28,38,51,39,46,75,2,88,40,20,64,45,64,49,4,73,42,13,61,3,42,50,64,50,55,36,16,14,31,1,94,17,80,3,83,92,60,96,19,40,60,13,51,22,71,64,4,22,86,13,54,0,66,28,34,44,92,61,4,99,80,88,77,96,10,51,7,0,20,29,48,90,26,86,0,74,87,13,93,86,63,45,82,20,74,20,53,4,17,58,56,5,17,88,86,71,6,32,98,60,16,21,90,21,31,39,73,78,11,88,0,62,95,8,87,57,97,61,79,17,54,29,
387,92,93,48,0,21,45,95,27,99,7,59,70,0,52,11,44,56,18,14,97,47,49,17,47,60,41,42,37,27,61,15,87,5,74,99,64,80,1,8,59,97,61,73,59,48,6,0,34,64,53,24,94,90,80,61,99,45,91,8,91,88,80,91,64,75,74,31,35,26,74,40,77,85,64,29,64,29,58,31,40,53,41,49,78,3,89,42,22,67,47,65,51,5,74,45,16,62,4,44,52,65,51,57,37,17,16,32,3,95,19,82,6,85,93,61,97,20,43,62,18,52,23,73,65,5,24,88,14,56,2,68,30,37,46,93,65,8,0,82,91,80,0,12,53,10,3,22,31,50,93,28,89,1,75,88,14,95,89,65,47,85,21,76,22,54,7,19,59,58,7,19,91,87,72,9,35,0,61,17,23,94,22,32,41,74,79,13,90,5,65,97,9,89,58,0,64,82,18,56,31,
388,96,95,49,1,24,48,97,28,0,9,61,72,4,54,14,45,59,20,15,99,50,53,21,49,63,43,45,40,31,62,17,88,6,76,0,65,84,5,10,60,98,63,75,62,50,7,1,38,66,57,29,97,92,83,62,0,47,94,10,93,91,82,92,66,77,78,32,36,28,77,42,78,88,67,31,68,32,60,33,42,55,45,51,82,5,91,45,25,68,50,68,53,7,76,47,18,63,7,46,54,68,52,58,43,21,17,34,5,97,23,84,8,86,95,63,99,24,45,64,21,56,25,74,69,9,25,92,15,58,4,69,33,39,50,96,67,11,4,83,93,83,2,14,56,12,5,25,35,53,95,31,91,4,77,89,17,97,90,69,50,86,24,78,26,55,11,20,61,62,9,21,93,91,74,12,38,1,63,19,27,97,24,33,45,76,81,15,94,6,67,99,11,92,60,1,66,85,22,59,33,
389,97,97,50,2,25,49,98,30,3,13,62,73,5,55,15,46,60,21,18,0,51,55,22,50,65,46,46,42,32,63,19,89,8,78,1,68,85,6,11,61,0,65,77,63,52,8,2,40,69,58,30,99,93,84,63,2,49,96,11,96,92,83,93,69,78,80,33,37,30,79,43,79,89,68,33,71,33,63,34,45,56,46,53,83,7,94,47,27,69,51,69,54,9,77,48,20,66,8,47,56,69,55,59,44,23,18,35,7,98,24,85,10,88,97,65,0,25,47,66,23,58,28,75,70,10,26,94,16,59,6,70,34,40,52,97,69,12,6,86,95,85,4,15,57,13,6,26,38,55,97,32,92,6,78,92,18,98,91,72,51,87,26,79,28,56,13,22,62,64,10,22,94,92,76,14,39,2,65,21,28,0,25,35,46,77,82,17,95,7,68,0,12,94,61,2,69,86,23,60,35,
390,0,0,51,3,26,50,0,32,4,16,64,75,8,57,17,51,63,23,20,2,55,57,25,51,67,49,51,44,34,64,22,91,11,79,2,69,86,8,13,63,4,67,79,66,54,11,3,41,70,59,33,0,96,85,64,4,52,98,13,97,95,86,95,71,79,82,37,40,31,82,44,80,91,69,34,73,35,65,38,48,57,48,55,84,9,95,48,28,70,54,71,55,13,78,49,23,68,10,51,57,71,59,61,45,27,20,38,10,0,27,87,11,90,0,67,2,27,49,68,26,59,32,76,72,11,28,95,17,61,9,72,36,42,54,0,71,15,8,88,96,87,8,16,59,16,8,28,39,56,0,34,94,7,80,96,20,0,92,74,53,89,29,81,29,58,14,24,63,68,13,24,95,94,78,16,40,3,66,24,32,2,26,36,48,79,84,19,97,10,70,2,13,95,63,4,70,87,25,61,36,
391,1,3,53,7,28,52,2,35,8,19,69,77,12,59,19,56,67,26,24,6,57,59,28,54,72,50,56,48,37,66,25,95,13,82,4,72,88,11,15,64,6,71,82,67,57,15,10,44,71,61,36,3,99,87,67,7,58,99,15,99,98,90,99,74,80,84,41,44,35,85,46,82,95,70,36,76,40,68,39,52,60,51,57,87,12,99,49,31,74,57,76,58,17,79,51,25,71,13,54,60,76,63,64,47,29,24,41,12,2,30,89,14,92,4,68,4,32,50,71,30,62,36,82,73,16,31,98,19,63,12,74,41,43,56,3,74,17,10,91,99,90,12,19,61,20,10,29,41,60,3,36,96,8,82,98,24,1,93,76,56,95,30,84,32,59,17,25,67,73,17,28,99,96,82,18,44,6,68,25,35,4,28,40,52,82,86,24,99,14,74,4,16,98,65,8,72,90,28,64,38,
392,2,4,54,8,29,53,3,36,9,20,70,78,13,60,20,57,68,27,25,7,58,60,29,55,73,51,57,49,38,67,26,96,14,83,5,73,89,12,16,65,7,72,83,68,58,16,11,45,72,62,37,4,0,88,68,8,59,0,16,0,99,91,0,75,81,85,42,45,36,86,47,83,96,71,37,77,41,69,40,53,61,52,58,88,13,0,50,32,75,58,77,59,18,80,52,26,72,14,55,61,77,64,65,48,30,25,42,13,3,31,90,15,93,5,69,5,33,51,72,31,63,37,83,74,17,32,99,20,64,13,75,42,44,57,4,75,18,11,92,0,91,13,20,62,21,11,30,42,61,4,37,97,9,83,99,25,2,94,77,57,96,31,85,33,60,18,26,68,74,18,29,0,97,83,19,45,7,69,26,36,5,29,41,53,83,87,25,0,15,75,5,17,99,66,9,73,91,29,65,39,
393,4,8,56,11,30,54,6,37,12,23,73,81,16,63,24,62,69,29,28,8,61,63,31,56,76,53,58,54,40,71,28,98,16,85,7,75,90,16,18,69,11,76,85,69,61,19,13,48,75,64,41,6,2,90,70,11,61,1,19,3,0,94,2,76,84,88,47,47,39,87,51,84,98,75,39,79,43,71,43,54,64,55,59,90,17,4,52,34,77,59,82,61,19,82,53,31,75,17,57,64,80,67,66,50,33,27,48,17,6,34,93,16,94,7,70,9,37,54,76,33,64,40,85,76,22,34,0,23,68,16,77,44,46,58,5,80,23,13,95,2,94,17,21,64,23,15,32,46,63,6,41,0,13,85,0,28,5,96,80,59,0,34,88,35,63,21,28,72,77,22,31,1,98,87,21,48,11,73,29,38,6,30,43,56,84,91,30,1,19,77,8,19,0,68,12,75,95,32,68,43,
394,6,10,58,13,31,56,10,39,15,25,77,85,17,65,27,64,71,31,31,9,63,65,33,57,78,55,62,57,42,74,30,0,18,87,8,76,91,17,20,71,12,79,86,72,62,22,15,50,78,66,42,7,4,93,73,12,63,3,21,6,1,95,4,78,88,91,48,48,42,88,53,86,0,77,42,82,44,73,45,56,66,56,62,94,18,6,54,35,79,62,83,62,21,84,54,34,77,19,59,66,82,68,67,53,34,29,49,19,8,35,95,18,95,8,73,13,38,55,79,36,66,42,88,77,24,35,2,25,71,17,80,45,48,61,7,82,25,14,96,4,96,18,24,65,25,16,34,51,66,7,43,2,15,88,1,29,8,97,82,63,2,36,90,37,65,23,29,73,80,23,34,2,99,88,24,51,13,75,30,42,7,31,46,60,87,93,32,3,21,78,11,22,1,70,14,76,97,35,69,46,
395,7,11,59,15,33,58,12,40,16,26,78,86,19,66,28,66,72,32,32,10,64,66,34,58,79,56,63,58,44,75,32,2,19,88,9,79,92,18,22,73,13,80,88,73,63,23,16,52,79,67,45,8,5,95,74,13,64,4,22,7,2,97,5,79,90,92,49,49,43,90,54,87,1,79,43,83,45,74,47,58,67,57,63,96,20,7,57,37,81,64,84,64,22,85,56,35,78,20,60,67,83,69,68,55,37,30,51,21,10,36,96,20,97,10,74,14,39,57,80,37,67,44,90,78,25,36,3,26,73,18,81,46,49,63,8,83,27,16,97,5,97,20,25,66,27,19,36,52,68,9,45,3,16,89,3,30,10,98,84,65,3,37,91,40,66,24,32,75,82,24,36,3,0,89,26,52,14,78,31,43,9,33,47,61,88,96,34,4,22,79,12,24,3,72,15,78,98,37,70,47,
396,8,12,60,16,34,59,13,41,17,28,79,87,21,68,29,68,73,33,33,11,65,67,35,59,80,57,64,59,45,76,33,4,20,89,11,80,93,19,23,74,15,81,90,74,64,24,17,54,80,68,47,9,6,96,75,14,65,5,23,8,3,99,7,80,92,94,50,51,44,91,55,88,2,80,44,84,47,75,48,59,68,58,64,97,22,8,58,38,82,66,85,65,23,86,58,37,80,21,61,68,84,70,69,57,38,32,52,22,11,37,97,21,98,11,75,15,40,58,81,38,69,45,91,79,26,37,4,27,74,19,82,47,51,65,9,84,29,17,98,6,98,21,26,67,28,20,37,53,69,10,47,4,17,90,4,31,11,99,86,66,4,39,93,41,68,25,33,77,83,25,37,4,1,90,28,53,15,79,32,44,10,35,48,63,89,97,35,6,23,80,13,25,4,73,17,79,99,38,71,48,
397,9,13,61,17,35,60,14,42,18,29,80,88,22,69,30,69,74,34,34,12,66,68,36,60,81,58,65,60,46,77,34,5,21,90,12,81,94,20,24,75,16,82,91,75,65,25,18,55,81,69,48,10,7,97,76,15,66,6,24,9,4,0,8,81,93,95,51,52,45,92,56,89,3,81,45,85,48,76,49,60,69,59,65,98,23,9,59,39,83,67,86,66,24,87,59,38,81,22,62,69,85,71,70,58,39,33,53,23,12,38,98,22,99,12,76,16,41,59,82,39,70,46,92,80,27,38,5,28,75,20,83,48,52,66,10,85,30,18,99,7,99,22,27,68,29,21,38,54,70,11,48,5,18,91,5,32,12,0,87,67,5,40,94,42,69,26,34,78,84,26,38,5,2,91,29,54,16,80,33,45,11,36,49,64,90,98,36,7,24,81,14,26,5,74,18,80,0,39,72,49,
398,11,15,62,18,36,62,15,43,21,31,82,89,23,70,33,71,76,36,36,14,67,70,37,62,82,60,67,61,48,78,35,7,22,93,13,82,96,21,27,77,18,83,92,76,66,26,19,58,84,70,50,13,9,99,78,17,68,8,25,10,5,1,11,82,95,97,54,53,46,93,57,90,4,82,47,86,49,77,50,62,72,61,67,99,25,11,60,40,84,70,87,68,26,89,60,39,82,23,63,70,86,74,71,59,40,35,56,26,14,39,99,24,0,13,77,17,44,60,84,42,72,47,94,81,28,40,6,30,76,22,84,49,55,67,13,86,31,19,0,8,0,23,29,69,31,23,40,56,71,13,50,7,19,92,7,34,14,1,89,68,8,42,95,43,70,27,36,80,85,27,40,7,3,92,30,55,17,81,35,46,13,38,51,66,91,99,37,8,26,82,16,29,7,76,19,81,1,40,73,50,
399,12,16,63,20,39,63,17,44,22,33,83,91,24,72,35,72,78,37,39,15,69,72,40,65,85,62,69,62,50,80,36,8,23,95,14,83,97,25,28,78,19,85,93,79,68,27,21,59,85,71,52,14,11,0,79,18,69,9,26,12,6,3,14,84,96,99,55,55,49,94,58,91,6,83,49,89,51,80,51,63,74,62,68,0,27,12,61,42,86,71,88,69,29,90,61,40,84,24,64,71,87,75,72,61,42,37,57,28,16,41,0,26,1,16,79,19,45,61,86,44,74,49,96,82,29,41,7,33,78,24,85,50,58,68,14,88,34,20,1,9,3,24,30,70,32,24,43,57,73,15,52,10,21,94,8,35,15,2,91,69,10,43,96,44,72,29,37,81,87,30,42,8,4,93,33,57,18,82,37,48,15,40,52,69,92,0,38,9,27,83,19,31,9,77,21,82,2,42,74,53,
400,15,18,65,23,41,64,19,45,23,34,85,92,26,73,37,74,80,38,42,18,71,73,41,66,86,63,72,63,52,82,38,11,24,98,16,85,0,27,29,80,21,87,96,80,69,29,23,61,87,72,53,16,12,1,80,19,70,11,29,15,7,4,15,85,97,0,59,56,51,96,60,93,8,84,51,91,53,81,56,64,76,63,70,1,29,14,62,44,87,74,89,71,30,92,62,42,86,26,65,72,90,77,73,64,44,39,59,29,18,43,2,27,3,18,81,20,47,63,88,45,77,50,98,84,30,42,8,35,80,27,86,51,60,71,16,89,37,22,3,11,4,25,33,71,33,25,46,58,75,16,54,11,23,95,9,37,16,3,93,72,12,45,97,45,73,31,38,83,89,32,44,10,7,94,34,59,19,85,38,50,18,42,53,70,94,1,41,11,29,84,20,33,10,78,22,84,6,43,76,55,
401,16,19,67,24,42,65,21,46,24,35,86,94,28,74,38,76,81,39,43,20,72,74,42,67,87,65,74,66,53,83,39,12,26,0,17,87,1,28,31,81,22,88,97,82,70,31,24,63,88,73,54,17,13,3,81,20,71,12,31,16,8,5,16,86,98,1,60,58,53,99,63,96,10,85,53,92,54,83,58,65,77,64,71,2,30,15,63,46,90,76,90,72,31,93,64,43,87,27,66,73,92,79,75,66,46,40,61,31,19,45,4,28,5,19,83,22,48,65,90,46,78,51,0,85,31,44,9,36,81,29,87,52,61,73,18,91,39,23,4,13,6,26,35,72,34,27,47,59,76,17,56,12,24,96,10,39,17,5,94,73,13,46,98,47,74,34,40,84,91,33,46,11,8,95,35,61,20,86,39,52,19,43,54,71,95,2,42,13,30,85,21,35,11,79,24,85,7,44,77,57,
402,17,20,69,26,43,67,24,47,25,36,87,96,29,75,40,77,83,41,44,22,74,75,43,69,88,67,76,68,55,85,40,13,27,1,19,89,2,29,32,82,23,89,98,83,72,32,25,65,91,75,55,19,16,4,82,22,72,14,32,17,9,7,18,87,99,2,61,59,55,0,64,97,11,86,55,93,55,84,59,66,78,65,74,3,31,16,64,48,92,77,91,73,32,94,65,46,89,28,67,75,93,81,77,68,48,42,63,33,20,46,5,30,7,21,85,24,50,66,93,47,79,52,2,86,33,45,10,37,83,31,88,53,62,75,19,93,41,26,5,14,7,27,37,73,35,28,49,60,78,18,57,14,26,99,12,40,18,6,95,74,15,47,99,49,75,35,42,86,93,35,47,12,9,96,36,62,22,87,41,54,21,44,55,72,96,3,43,15,31,86,22,36,12,80,25,86,9,45,78,59,
403,18,21,71,27,44,68,26,48,26,37,89,98,30,76,41,79,84,42,45,23,76,76,44,70,89,68,77,69,56,86,41,14,28,2,20,90,3,30,33,83,24,90,99,84,73,33,26,66,93,76,56,20,17,5,83,23,73,15,34,19,10,8,19,88,0,4,63,60,56,2,65,98,12,87,57,94,57,85,61,67,79,66,75,4,32,17,65,49,94,79,92,74,34,96,66,48,90,29,69,76,94,82,78,70,50,44,64,34,21,47,6,31,9,22,86,26,51,67,94,48,81,54,3,87,35,46,11,38,84,32,90,54,63,76,20,95,42,27,7,15,8,28,38,74,36,29,50,61,79,19,58,15,27,0,14,42,20,7,97,76,16,49,0,50,76,36,43,87,95,36,48,13,10,97,37,63,24,89,43,56,23,45,56,74,97,4,44,16,32,88,23,37,13,81,26,87,10,47,79,60,
